,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,Age
0,18.0,8,307.0,130,3504,12.0,US,54
3,16.0,8,304.0,150,3433,12.0,US,54
4,17.0,8,302.0,140,3449,10.5,US,54
6,14.0,8,454.0,220,4354,9.0,US,54
7,23.55142857142857,8,440.0,215,4312,8.5,US,54
8,14.0,8,455.0,225,4425,8.5,US,54
9,15.0,8,390.0,190,3850,8.5,US,54
10,15.0,8,383.0,170,3563,10.0,US,54
11,14.0,5,340.0,160,3609,8.0,US,54
12,23.55142857142857,8,400.0,150,3761,9.5,US,54
13,14.0,8,455.0,225,3086,10.0,US,54
14,24.0,4,113.0,95,2372,15.0,Japan,54
15,22.0,6,198.0,95,2833,15.5,US,54
16,18.0,6,199.0,97,2774,15.5,US,54
17,21.0,6,200.0,85,2587,16.0,US,54
18,27.0,4,97.0,88,2130,14.5,Japan,54
19,26.0,4,97.0,46,1835,15.5,Europe,54
20,23.55142857142857,4,110.0,87,2672,17.5,Europe,54
21,24.0,4,107.0,90,2430,14.5,Europe,54
22,25.0,5,104.0,95,2375,17.5,Europe,54
23,26.0,4,121.0,113,2234,12.5,Europe,54
24,21.0,6,199.0,90,2648,15.0,US,54
25,10.0,8,360.0,215,4615,14.0,US,54
26,10.0,8,307.0,200,4376,15.0,US,54
27,11.0,8,318.0,210,4382,15.0,US,54
28,9.0,8,304.0,193,4732,18.5,US,54
29,27.0,4,97.0,88,2130,14.5,Japan,53
30,23.55142857142857,4,140.0,90,2264,15.5,US,53
31,25.0,4,113.0,95,2228,14.0,Japan,53
32,19.0,5,232.0,100,2634,13.0,US,53
33,16.0,6,225.0,105,3439,13.0,US,53
34,17.0,6,250.0,100,3329,15.5,US,53
35,19.0,6,250.0,88,3302,15.5,US,53
36,18.0,6,232.0,100,3288,15.5,US,53
37,14.0,8,350.0,165,4209,12.0,US,53
38,14.0,8,400.0,175,4464,11.5,US,53
39,14.0,8,351.0,153,4154,13.5,US,53
40,23.55142857142857,8,318.0,150,4096,13.0,US,53
41,12.0,8,383.0,180,4955,11.5,US,53
42,13.0,5,400.0,170,4746,12.0,US,53
43,13.0,8,400.0,175,5140,12.0,US,53
44,18.0,6,258.0,110,2962,13.5,US,53
45,22.0,4,140.0,72,2408,19.0,US,53
46,19.0,6,250.0,100,3282,15.0,US,53
47,18.0,6,250.0,88,3139,14.5,US,53
48,23.0,4,122.0,86,2220,13.0,US,53
49,28.0,4,116.0,90,2123,14.0,Europe,53
50,23.55142857142857,4,79.0,70,2074,19.5,Europe,53
51,30.0,5,88.0,76,2065,14.5,Europe,53
52,31.0,4,71.0,65,1773,19.0,Japan,53
53,35.0,4,72.0,69,1613,18.0,Japan,53
54,27.0,4,97.0,60,1834,19.0,Europe,53
55,26.0,4,91.0,70,1955,20.5,US,53
56,24.0,4,113.0,95,2278,15.5,Japan,52
57,25.0,4,97.5,80,2126,17.0,US,52
58,23.0,5,97.0,54,2254,23.5,Europe,52
59,20.0,4,140.0,90,2408,19.5,US,52
60,21.0,4,122.0,86,2226,16.5,US,52
61,13.0,8,350.0,165,4274,12.0,US,52
62,14.0,8,400.0,175,4385,12.0,US,52
63,15.0,8,318.0,150,4135,13.5,US,52
64,14.0,8,351.0,153,4129,13.0,US,52
65,17.0,8,304.0,150,3672,11.5,US,52
66,11.0,8,429.0,208,4633,11.0,US,52
68,12.0,8,350.0,160,4456,13.5,US,52
69,13.0,5,400.0,190,4422,12.5,US,52
70,23.55142857142857,3,70.0,97,2330,13.5,Japan,52
71,15.0,8,304.0,150,3892,12.5,US,52
72,13.0,8,307.0,130,4098,14.0,US,52
73,13.0,8,302.0,140,4294,16.0,US,52
74,14.0,8,318.0,150,4077,14.0,US,52
75,18.0,4,121.0,112,2933,14.5,Europe,52
76,22.0,4,121.0,76,2511,18.0,Europe,52
77,21.0,4,120.0,87,2979,19.5,Europe,52
78,26.0,4,96.0,69,2189,18.0,Europe,52
79,22.0,4,122.0,86,2395,16.0,US,52
80,28.0,4,97.0,92,2288,17.0,Japan,52
81,23.55142857142857,4,120.0,97,2506,14.5,Japan,52
82,28.0,5,98.0,80,2164,15.0,US,52
83,27.0,4,97.0,88,2100,16.5,Japan,52
84,13.0,8,350.0,175,4100,13.0,US,51
85,14.0,8,304.0,150,3672,11.5,US,51
86,13.0,8,350.0,145,3988,13.0,US,51
87,14.0,8,302.0,137,4042,14.5,US,51
89,12.0,5,429.0,198,4952,11.5,US,51
90,13.0,8,400.0,150,4464,12.0,US,51
91,23.55142857142857,8,351.0,158,4363,13.0,US,51
92,14.0,8,318.0,150,4237,14.5,US,51
93,13.0,8,440.0,215,4735,11.0,US,51
94,12.0,8,455.0,225,4951,11.0,US,51
95,13.0,8,360.0,175,3821,11.0,US,51
96,18.0,6,225.0,105,3121,16.5,US,51
97,16.0,6,250.0,100,3278,18.0,US,51
98,18.0,6,232.0,100,2945,16.0,US,51
99,18.0,6,250.0,88,3021,16.5,US,51
101,26.0,4,97.0,46,1950,21.0,Europe,51
102,11.0,8,400.0,150,4997,14.0,US,51
103,12.0,8,400.0,167,4906,12.5,US,51
104,13.0,8,360.0,170,4654,13.0,US,51
105,12.0,8,350.0,180,4499,12.5,US,51
106,18.0,6,232.0,100,2789,15.0,US,51
107,20.0,4,97.0,88,2279,19.0,Japan,51
108,21.0,4,140.0,72,2401,19.5,US,51
109,22.0,4,108.0,94,2379,16.5,Japan,51
110,18.0,3,70.0,90,2124,13.5,Japan,51
112,21.0,6,155.0,107,2472,14.0,US,51
113,26.0,4,98.0,90,2265,15.5,Europe,51
114,15.0,8,350.0,145,4082,13.0,US,51
115,16.0,8,400.0,230,4278,9.5,US,51
116,29.0,4,68.0,49,1867,19.5,Europe,51
117,24.0,4,116.0,75,2158,15.5,Europe,51
118,20.0,4,114.0,91,2582,14.0,Europe,51
119,19.0,4,121.0,112,2868,15.5,Europe,51
120,15.0,8,318.0,150,3399,11.0,US,51
121,24.0,4,121.0,110,2660,14.0,Europe,51
122,20.0,6,156.0,122,2807,13.5,Japan,51
123,11.0,8,350.0,180,3664,11.0,US,51
124,20.0,6,198.0,95,3102,16.5,US,50
125,19.0,6,232.0,100,2901,16.0,US,50
126,15.0,6,250.0,100,3336,17.0,US,50
127,31.0,4,79.0,67,1950,19.0,Japan,50
128,26.0,4,122.0,80,2451,16.5,US,50
129,32.0,4,71.0,65,1836,21.0,Japan,50
130,25.0,4,140.0,75,2542,17.0,US,50
131,16.0,6,250.0,100,3781,17.0,US,50
132,16.0,6,258.0,110,3632,18.0,US,50
133,18.0,6,225.0,105,3613,16.5,US,50
134,16.0,8,302.0,140,4141,14.0,US,50
135,13.0,8,350.0,150,4699,14.5,US,50
136,14.0,8,318.0,150,4457,13.5,US,50
137,14.0,8,302.0,140,4638,16.0,US,50
138,14.0,8,304.0,150,4257,15.5,US,50
139,29.0,4,98.0,83,2219,16.5,Europe,50
140,26.0,4,79.0,67,1963,15.5,Europe,50
141,26.0,4,97.0,78,2300,14.5,Europe,50
142,31.0,4,76.0,52,1649,16.5,Japan,50
143,32.0,4,83.0,61,2003,19.0,Japan,50
144,28.0,4,90.0,75,2125,14.5,US,50
145,24.0,4,90.0,75,2108,15.5,Europe,50
146,26.0,4,116.0,75,2246,14.0,Europe,50
147,24.0,4,120.0,97,2489,15.0,Japan,50
148,26.0,4,108.0,93,2391,15.5,Japan,50
149,31.0,4,79.0,67,2000,16.0,Europe,50
150,19.0,6,225.0,95,3264,16.0,US,49
151,18.0,6,250.0,105,3459,16.0,US,49
152,15.0,6,250.0,72,3432,21.0,US,49
153,15.0,6,250.0,72,3158,19.5,US,49
154,16.0,8,400.0,170,4668,11.5,US,49
155,15.0,8,350.0,145,4440,14.0,US,49
156,16.0,8,318.0,150,4498,14.5,US,49
157,14.0,8,351.0,148,4657,13.5,US,49
158,17.0,6,231.0,110,3907,21.0,US,49
159,16.0,6,250.0,105,3897,18.5,US,49
160,15.0,6,258.0,110,3730,19.0,US,49
161,18.0,6,225.0,95,3785,19.0,US,49
162,21.0,6,231.0,110,3039,15.0,US,49
163,20.0,8,262.0,110,3221,13.5,US,49
164,13.0,8,302.0,129,3169,12.0,US,49
165,29.0,4,97.0,75,2171,16.0,Japan,49
166,23.0,4,140.0,83,2639,17.0,US,49
167,20.0,6,232.0,100,2914,16.0,US,49
168,23.0,4,140.0,78,2592,18.5,US,49
169,24.0,4,134.0,96,2702,13.5,Japan,49
170,25.0,4,90.0,71,2223,16.5,Europe,49
171,24.0,4,119.0,97,2545,17.0,Japan,49
172,18.0,6,171.0,97,2984,14.5,US,49
173,29.0,4,90.0,70,1937,14.0,Europe,49
174,19.0,6,232.0,90,3211,17.0,US,49
175,23.0,4,115.0,95,2694,15.0,Europe,49
176,23.0,4,120.0,88,2957,17.0,Europe,49
177,22.0,4,121.0,98,2945,14.5,Europe,49
178,25.0,4,121.0,115,2671,13.5,Europe,49
179,33.0,4,91.0,53,1795,17.5,Japan,49
180,28.0,4,107.0,86,2464,15.5,Europe,48
181,25.0,4,116.0,81,2220,16.9,Europe,48
182,25.0,4,140.0,92,2572,14.9,US,48
183,26.0,4,98.0,79,2255,17.7,US,48
184,27.0,4,101.0,83,2202,15.3,Europe,48
185,17.5,8,305.0,140,4215,13.0,US,48
186,16.0,8,318.0,150,4190,13.0,US,48
187,15.5,8,304.0,120,3962,13.9,US,48
188,14.5,8,351.0,152,4215,12.8,US,48
189,22.0,6,225.0,100,3233,15.4,US,48
190,22.0,6,250.0,105,3353,14.5,US,48
191,24.0,6,200.0,81,3012,17.6,US,48
192,22.5,6,232.0,90,3085,17.6,US,48
193,29.0,4,85.0,52,2035,22.2,US,48
194,24.5,4,98.0,60,2164,22.1,US,48
195,29.0,4,90.0,70,1937,14.2,Europe,48
196,33.0,4,91.0,53,1795,17.4,Japan,48
197,20.0,6,225.0,100,3651,17.7,US,48
198,18.0,6,250.0,78,3574,21.0,US,48
199,18.5,6,250.0,110,3645,16.2,US,48
200,17.5,6,258.0,95,3193,17.8,US,48
201,29.5,4,97.0,71,1825,12.2,Europe,48
202,32.0,4,85.0,70,1990,17.0,Japan,48
203,28.0,4,97.0,75,2155,16.4,Japan,48
204,26.5,4,140.0,72,2565,13.6,US,48
205,20.0,4,130.0,102,3150,15.7,Europe,48
206,13.0,8,318.0,150,3940,13.2,US,48
207,19.0,4,120.0,88,3270,21.9,Europe,48
208,19.0,6,156.0,108,2930,15.5,Japan,48
209,16.5,6,168.0,120,3820,16.7,Europe,48
210,16.5,8,350.0,180,4380,12.1,US,48
211,13.0,8,350.0,145,4055,12.0,US,48
212,13.0,8,302.0,130,3870,15.0,US,48
213,13.0,8,318.0,150,3755,14.0,US,48
214,31.5,4,98.0,68,2045,18.5,Japan,47
215,30.0,4,111.0,80,2155,14.8,US,47
216,36.0,4,79.0,58,1825,18.6,Europe,47
217,25.5,4,122.0,96,2300,15.5,US,47
218,33.5,4,85.0,70,1945,16.8,Japan,47
219,17.5,8,305.0,145,3880,12.5,US,47
220,17.0,8,260.0,110,4060,19.0,US,47
221,15.5,8,318.0,145,4140,13.7,US,47
222,15.0,8,302.0,130,4295,14.9,US,47
223,17.5,6,250.0,110,3520,16.4,US,47
224,20.5,6,231.0,105,3425,16.9,US,47
225,19.0,6,225.0,100,3630,17.7,US,47
226,18.5,6,250.0,98,3525,19.0,US,47
227,16.0,8,400.0,180,4220,11.1,US,47
228,15.5,8,350.0,170,4165,11.4,US,47
229,15.5,8,400.0,190,4325,12.2,US,47
230,16.0,8,351.0,149,4335,14.5,US,47
231,29.0,4,97.0,78,1940,14.5,Europe,47
232,24.5,4,151.0,88,2740,16.0,US,47
233,26.0,4,97.0,75,2265,18.2,Japan,47
234,25.5,4,140.0,89,2755,15.8,US,47
235,30.5,4,98.0,63,2051,17.0,US,47
236,33.5,4,98.0,83,2075,15.9,US,47
237,30.0,4,97.0,67,1985,16.4,Japan,47
238,30.5,4,97.0,78,2190,14.1,Europe,47
239,22.0,6,146.0,97,2815,14.5,Japan,47
240,21.5,4,121.0,110,2600,12.8,Europe,47
241,21.5,3,80.0,110,2720,13.5,Japan,47
242,43.1,4,90.0,48,1985,21.5,Europe,46
243,36.1,4,98.0,66,1800,14.4,US,46
244,32.8,4,78.0,52,1985,19.4,Japan,46
245,39.4,4,85.0,70,2070,18.6,Japan,46
246,36.1,4,91.0,60,1800,16.4,Japan,46
247,19.9,8,260.0,110,3365,15.5,US,46
248,19.4,8,318.0,140,3735,13.2,US,46
249,20.2,8,302.0,139,3570,12.8,US,46
250,19.2,6,231.0,105,3535,19.2,US,46
251,20.5,6,200.0,95,3155,18.2,US,46
252,20.2,6,200.0,85,2965,15.8,US,46
253,25.1,4,140.0,88,2720,15.4,US,46
254,20.5,6,225.0,100,3430,17.2,US,46
255,19.4,6,232.0,90,3210,17.2,US,46
256,20.6,6,231.0,105,3380,15.8,US,46
257,20.8,6,200.0,85,3070,16.7,US,46
258,18.6,6,225.0,110,3620,18.7,US,46
259,18.1,6,258.0,120,3410,15.1,US,46
260,19.2,8,305.0,145,3425,13.2,US,46
261,17.7,6,231.0,165,3445,13.4,US,46
262,18.1,8,302.0,139,3205,11.2,US,46
263,17.5,8,318.0,140,4080,13.7,US,46
264,30.0,4,98.0,68,2155,16.5,US,46
265,27.5,4,134.0,95,2560,14.2,Japan,46
266,27.2,4,119.0,97,2300,14.7,Japan,46
267,30.9,4,105.0,75,2230,14.5,US,46
268,21.1,4,134.0,95,2515,14.8,Japan,46
269,23.2,4,156.0,105,2745,16.7,US,46
270,23.8,4,151.0,85,2855,17.6,US,46
271,23.9,4,119.0,97,2405,14.9,Japan,46
272,20.3,5,131.0,103,2830,15.9,Europe,46
273,17.0,6,163.0,125,3140,13.6,Europe,46
274,21.6,4,121.0,115,2795,15.7,Europe,46
275,16.2,6,163.0,133,3410,15.8,Europe,46
276,31.5,4,89.0,71,1990,14.9,Europe,46
277,29.5,4,98.0,68,2135,16.6,Japan,46
278,21.5,6,231.0,115,3245,15.4,US,45
279,19.8,6,200.0,85,2990,18.2,US,45
280,22.3,4,140.0,88,2890,17.3,US,45
281,20.2,6,232.0,90,3265,18.2,US,45
282,20.6,6,225.0,110,3360,16.6,US,45
283,17.0,8,305.0,130,3840,15.4,US,45
284,17.6,8,302.0,129,3725,13.4,US,45
285,16.5,8,351.0,138,3955,13.2,US,45
286,18.2,8,318.0,135,3830,15.2,US,45
287,16.9,8,350.0,155,4360,14.9,US,45
288,15.5,8,351.0,142,4054,14.3,US,45
289,19.2,8,267.0,125,3605,15.0,US,45
290,18.5,8,360.0,150,3940,13.0,US,45
291,31.9,4,89.0,71,1925,14.0,Europe,45
292,34.1,4,86.0,65,1975,15.2,Japan,45
293,35.7,4,98.0,80,1915,14.4,US,45
294,27.4,4,121.0,80,2670,15.0,US,45
295,25.4,5,183.0,77,3530,20.1,Europe,45
296,23.0,8,350.0,125,3900,17.4,US,45
297,27.2,4,141.0,71,3190,24.8,Europe,45
298,23.9,8,260.0,90,3420,22.2,US,45
299,34.2,4,105.0,70,2200,13.2,US,45
300,34.5,4,105.0,70,2150,14.9,US,45
301,31.8,4,85.0,65,2020,19.2,Japan,45
302,37.3,4,91.0,69,2130,14.7,Europe,45
303,28.4,4,151.0,90,2670,16.0,US,45
304,28.8,6,173.0,115,2595,11.3,US,45
305,26.8,6,173.0,115,2700,12.9,US,45
306,33.5,4,151.0,90,2556,13.2,US,45
307,41.5,4,98.0,76,2144,14.7,Europe,44
308,38.1,4,89.0,60,1968,18.8,Japan,44
309,32.1,4,98.0,70,2120,15.5,US,44
310,37.2,4,86.0,65,2019,16.4,Japan,44
311,28.0,4,151.0,90,2678,16.5,US,44
312,26.4,4,140.0,88,2870,18.1,US,44
313,24.3,4,151.0,90,3003,20.1,US,44
314,19.1,6,225.0,90,3381,18.7,US,44
315,34.3,4,97.0,78,2188,15.8,Europe,44
316,29.8,4,134.0,90,2711,15.5,Japan,44
317,31.3,4,120.0,75,2542,17.5,Japan,44
318,37.0,4,119.0,92,2434,15.0,Japan,44
319,32.2,4,108.0,75,2265,15.2,Japan,44
320,46.6,4,86.0,65,2110,17.9,Japan,44
321,27.9,4,156.0,105,2800,14.4,US,44
322,40.8,4,85.0,65,2110,19.2,Japan,44
323,44.3,4,90.0,48,2085,21.7,Europe,44
324,43.4,4,90.0,48,2335,23.7,Europe,44
325,36.4,5,121.0,67,2950,19.9,Europe,44
326,30.0,4,146.0,67,3250,21.8,Europe,44
327,44.6,4,91.0,67,1850,13.8,Japan,44
328,33.8,4,97.0,67,2145,18.0,Japan,44
329,29.8,4,89.0,62,1845,15.3,Europe,44
330,32.7,6,168.0,132,2910,11.4,Japan,44
331,23.7,3,70.0,100,2420,12.5,Japan,44
332,35.0,4,122.0,88,2500,15.1,Europe,44
333,32.4,4,107.0,72,2290,17.0,Japan,44
334,27.2,4,135.0,84,2490,15.7,US,44
335,26.6,4,151.0,84,2635,16.4,US,44
336,25.8,4,156.0,92,2620,14.4,US,43
337,23.5,6,173.0,110,2725,12.6,US,43
338,30.0,4,135.0,84,2385,12.9,US,43
339,39.1,4,79.0,58,1755,16.9,Japan,43
340,39.0,4,86.0,64,1875,16.4,US,43
341,35.1,4,81.0,60,1760,16.1,Japan,43
342,32.3,4,97.0,67,2065,17.8,Japan,43
343,37.0,4,85.0,65,1975,19.4,Japan,43
344,37.7,4,89.0,62,2050,17.3,Japan,43
345,34.1,4,91.0,68,1985,16.0,Japan,43
346,34.7,4,105.0,63,2215,14.9,US,43
347,34.4,4,98.0,65,2045,16.2,US,43
348,29.9,4,98.0,65,2380,20.7,US,43
349,33.0,4,105.0,74,2190,14.2,Europe,43
350,34.5,4,100.0,65,2320,15.8,Europe,43
351,33.7,4,107.0,75,2210,14.4,Japan,43
352,32.4,4,108.0,75,2350,16.8,Japan,43
353,32.9,4,119.0,100,2615,14.8,Japan,43
354,31.6,4,120.0,74,2635,18.3,Japan,43
355,28.1,4,141.0,80,3230,20.4,Europe,43
356,30.7,6,145.0,76,3160,19.6,Europe,43
357,25.4,6,168.0,116,2900,12.6,Japan,43
358,24.2,6,146.0,120,2930,13.8,Japan,43
359,22.4,6,231.0,110,3415,15.8,US,43
360,26.6,8,350.0,105,3725,19.0,US,43
361,20.2,6,200.0,88,3060,17.1,US,43
362,17.6,6,225.0,85,3465,16.6,US,43
363,28.0,4,112.0,88,2605,19.6,US,42
364,27.0,4,112.0,88,2640,18.6,US,42
365,34.0,4,112.0,88,2395,18.0,US,42
366,31.0,4,112.0,85,2575,16.2,US,42
367,29.0,4,135.0,84,2525,16.0,US,42
368,27.0,4,151.0,90,2735,18.0,US,42
369,24.0,4,140.0,92,2865,16.4,US,42
370,23.0,4,151.0,92,3035,20.5,US,42
371,36.0,4,105.0,74,1980,15.3,Europe,42
372,37.0,4,91.0,68,2025,18.2,Japan,42
373,31.0,4,91.0,68,1970,17.6,Japan,42
374,38.0,4,105.0,63,2125,14.7,US,42
375,36.0,4,98.0,70,2125,17.3,US,42
376,36.0,4,120.0,88,2160,14.5,Japan,42
377,36.0,4,107.0,75,2205,14.5,Japan,42
378,34.0,4,108.0,70,2245,16.9,Japan,42
379,38.0,4,91.0,67,1965,15.0,Japan,42
380,32.0,4,91.0,67,1965,15.7,Japan,42
381,38.0,4,91.0,67,1995,16.2,Japan,42
382,25.0,6,181.0,110,2945,16.4,US,42
383,38.0,6,262.0,85,3015,17.0,US,42
384,26.0,4,156.0,92,2585,14.5,US,42
385,22.0,6,232.0,112,2835,14.7,US,42
386,32.0,4,144.0,96,2665,13.9,Japan,42
387,36.0,4,135.0,84,2370,13.0,US,42
388,27.0,4,151.0,90,2950,17.3,US,42
389,27.0,4,140.0,86,2790,15.6,US,42
390,44.0,4,97.0,52,2130,24.6,Europe,42
391,32.0,4,135.0,84,2295,11.6,US,42
392,28.0,4,120.0,79,2625,18.6,US,42
393,31.0,4,119.0,82,2720,19.4,US,42
